"","genspe","leaf","time.decimal","family.x","habit","ta","rh","W.m2","WS.ms","Tlo.C","Conductance","width.filled","Abs","gop","gmax","obs.tmax","gopmax"
"2","Adenocalymma comosum","1",12.43,"Bignoniaceae","liana",33.23333333,78.5,619,0.1,37.4,172.7,4.236708164,0.387025011,379.95,715.7,40.08,187.7
"4","Adenocalymma comosum","1",14.05,"Bignoniaceae","liana",34.4,78.46666667,934,0.1,40.2,187.7,4.236708164,0.387025011,379.95,715.7,40.08,187.7
"5","Adenocalymma comosum","1",16.53,"Bignoniaceae","liana",34.33333333,73.93333333,908,0.1,36.8,NA,4.236708164,0.387025011,379.95,715.7,40.08,187.7
"6","Adenocalymma comosum","1",15.03,"Bignoniaceae","liana",35.36666667,70.66666667,987,1.2,36.2,NA,4.236708164,0.387025011,379.95,715.7,40.08,187.7
"7","Adenocalymma comosum","1",9.9,"Bignoniaceae","liana",33.23333333,78.66666667,138,0.1,30.2,580.2,4.236708164,0.387025011,379.95,715.7,40.08,187.7
"8","Adenocalymma comosum","1",14.35,"Bignoniaceae","liana",34.26666667,73.96666667,912,0.1,39.6,118.9,4.236708164,0.387025011,379.95,715.7,40.08,187.7
"9","Adenocalymma comosum","1",11.92,"Bignoniaceae","liana",33.8,75.93333333,719,0.1,32.6,715.7,4.236708164,0.387025011,379.95,715.7,40.08,187.7
"10","Adenocalymma comosum","2",15.03,"Bignoniaceae","liana",35.36666667,70.66666667,988,0.1,39.2,618.9,4.540057741,0.387025011,422.9166667,828.5,41.12,126
"11","Adenocalymma comosum","2",12.43,"Bignoniaceae","liana",33.23333333,78.5,594,0.1,36.8,228.7,4.540057741,0.387025011,422.9166667,828.5,41.12,126
"13","Adenocalymma comosum","2",9.9,"Bignoniaceae","liana",33.23333333,78.66666667,127,0.1,29.6,NA,4.540057741,0.387025011,422.9166667,828.5,41.12,126
"14","Adenocalymma comosum","2",11.92,"Bignoniaceae","liana",33.8,75.93333333,142,0.1,31.8,828.5,4.540057741,0.387025011,422.9166667,828.5,41.12,126
"15","Adenocalymma comosum","2",16.53,"Bignoniaceae","liana",34.33333333,73.93333333,922,0.6,38.4,556.1,4.540057741,0.387025011,422.9166667,828.5,41.12,126
"16","Adenocalymma comosum","2",14.35,"Bignoniaceae","liana",34.26666667,73.96666667,960,1.2,38.8,179.3,4.540057741,0.387025011,422.9166667,828.5,41.12,126
"18","Adenocalymma comosum","2",14.05,"Bignoniaceae","liana",34.4,78.46666667,860,0.6,41.6,126,4.540057741,0.387025011,422.9166667,828.5,41.12,126
"19","Adenocalymma comosum","3",15.03,"Bignoniaceae","liana",35.36666667,70.66666667,867,0.1,40.2,127.2,4.072778434,0.387025011,269,585.2,42.64,20.4
"21","Adenocalymma comosum","3",14.35,"Bignoniaceae","liana",34.26666667,73.96666667,649,0.3,41.4,NA,4.072778434,0.387025011,269,585.2,42.64,20.4
